cleaned_text,tokens
"Lousy German know-it-alls, who are they to say I'm not safe? Oh what's the matter with this thing.",lousy german know all safe oh matter thing
Let me ask you something. Does your money cheer you up when you're feeling blue?,let ask money cheer feel blue
"Okay, bad example. So let me ask you this, does your money ever hug you when you come home at night?",okay bad example let ask money hug come home night
"Nobody loves you. Nobody loves you. You're old and you're ugly. Nobody loves you. Yea, yea, yea yea!",love love old ugly love yea yea yea yea
Na na na na / Na na na na /,na na na na na na na na
"Yeah, sure, for you a baby's all fun and games. For me, it's diaper changes and midnight feedings.",yeah sure baby fun game diaper change midnight feeding
"Actually, Bart, I threw up more than your mother. ... It all happened at the beginning of that turbulent decade known as the '80s.",actually bart throw mother happen beginning turbulent decade know
"Those were idealistic days... The candidacy of John Anderson, the rise of Supertramp... It was an exciting time to be young!",idealistic day candidacy john anderson rise supertramp exciting time young
For several years I'd been dating your mother and working at the local fun center.,year date mother work local fun center
"I was 24 years old, with a beautiful girlfriend and a job with a future...",year old beautiful girlfriend job future
"Don't you ever, ever talk that way about television. Lousy, ungrateful... Can't keep their, whaddyacallit... minds... on any uh...",talk way television lousy ungrateful whaddyacallit mind uh
Where do you think you're going? You're gonna listen to my story.,think go go to listen story
"Wow, what an ending? Who'd have thought Darth Vader was Luke Skywalker's father.",wow ending think darth vader luke skywalker father
